"Register D"	"Number of instructions executed"
13501965	214014324
13465938	214386804
2363894	214756491
14101954	214823218
2995592	215210363
2771956	215292630
12852104	215370557
13729842	215725194
7643217	216102126
11477770	216313774
1508846	216628889
8525476	216670346
14626323	216906214
12265180	217307758
11000627	217644482
1587417	217946493
2527622	217991905
12200136	218063126
16165417	218399864
14649762	218845452
3879164	219247633
3328845	219354155
10602811	219447370
582125	219738461
1146227	219756272
6781177	219787775
1128640	219973957
10813971	220004977
6315218	220301871
11359069	220477063
2684081	220788916
1456922	220864428
799982	220906263
2132077	220930059
10650538	220990423
1420842	221284622
6369379	221323664
7426964	221498548
16250226	221702461
9120128	222148574
4223354	222398967
10068642	222516738
856523	222793164
15600073	222816715
490449	223246784
7752659	223260283
7348377	223474934
505910	223678490
16616359	223692416
2207383	224148581
8327358	224209211
4814975	224437841
10620584	224570053
5420791	224863433
4459660	225014069
12325671	225138329
3269535	225478518
7248467	225568303
10666712	225769115
1962139	226063755
4141072	226117651
12301429	226231369
8697964	226569087
8566739	226809687
10311593	227046682
15356297	227329779
9250157	227753156
8785731	228007119
2336061	228250134
3376613	228314299
7592941	228407024
7078763	228615487
11259051	228811644
12278934	229120746
14954375	229457848
13436851	229870193
13260551	230239082
337469	230604933
15466900	230614239
4441604	231040654
1506979	231162618
3158084	231205818
11166071	231294350
7698535	231602703
5875012	231814071
9164988	231975382
913765	232227000
41623	232252119
4113074	232255097
44669	232369837
14713584	232372899
13648397	232778629
7348100	233155127
13214382	233358676
7842239	233721454
6285835	233936763
11898528	234109351
4147813	234436009
4793038	234549909
9511455	234681519
8842106	234942657
13718030	235187212
16066407	235563822
8486459	236004895
10479706	236237893
12968331	236525603
15872065	236881626
6217620	237319164
481560	237491675
4372294	237504936
11510578	237626795
14339942	237942806
2377330	238338281
926531	238405379
9122185	238432654
2901549	238683103
13028412	238764593
12319821	239124067
8589180	239462289
3452428	239698108
15698953	239794718
15442492	240225704
7322879	240649648
9905966	240850698
911990	241122665
7024907	241147735
10987507	241340616
14477701	241642263
11353631	242041518
4415338	242353224
1945414	242474467
13195144	242527908
7743802	242890161
14161516	243104574
2455005	243495156
12499435	243562583
16669175	243907532
7865147	244366945
13536799	244584690
15100272	244958122
5233918	245374471
7500955	245518177
16013414	245725919
13969233	246167335
16146873	246550840
176529	246995917
13354093	247002598
15603732	247369212
4185593	247799386
2233093	247914315
15844923	247977458
13716274	248412448
12324868	248789009
16759835	249129177
13875570	249589283
12997400	249970212
15972144	250328839
16100768	250767322
11008396	251209333
1647458	251511554
2878916	251556819
9209098	251635880
10870922	251890515
16065493	252188963
3677953	252630008
1348813	252732813
8991346	252771673
9599643	253018531
2397724	253283883
15530289	253351541
10827043	253779692
11971805	254076943
12197552	254407409
1173287	254744077
6762735	254776322
2087290	254962000
3706260	255019333
11551732	255122908
9094082	255441845
7529002	255693316
10502977	255901828
1351433	256191981
1614041	256230918
15183022	256277058
388995	256693876
14312327	256704589
10716953	257099308
11857419	257393535
7082870	257720865
6385612	257917134
9985318	258092459
7970234	258368402
2719382	258587225
113939	258661911
8745321	258665078
9134475	258905181
11960707	259155966
12334191	259486131
6829264	259826551
15415591	260015855
7375951	260439064
12660292	260643376
9119797	260990950
16507504	261241336
8209099	261694512
12004866	261919894
4213921	262249478
2018954	262366990
4076753	262424246
12966380	262537992
628204	262893959
15454772	262911238
13196567	263335518
6355181	263697813
13777114	263874097
15103383	264254123
2985551	264670556
2937674	264752550
5063048	264835027
6897024	264974050
16676792	265163417
9837692	265623040
4255181	265894930
13525799	266013569
12900085	266386700
11357356	266742646
12640063	267054450
13417599	267403263
8880888	267773419
10265863	268017239
10991969	268300882
4682545	268602655
15523051	268731234
11860604	269159182
11629765	269486596
16700910	269805876
15570412	270266157
13702528	270693608
10919496	271069791
370067	271371375
12017469	271381570
12032299	271711497
5290303	272041830
4961849	272188889
10517402	272325133
381020	272615678
16023163	272626174
4956566	273067856
11291796	273203953
4994935	273515757
10911939	273654710
733126	273956084
2362114	273976247
2432592	274042932
11039573	274109750
16671629	274414631
15000599	274874114
6721584	275287726
8420589	275474076
5313694	275707060
14661577	275852964
13188831	276255467
312670	276617545
11933998	276627964
6156728	276957401
14975728	277126440
13911993	277539366
15743633	277923095
5362152	278357105
12675676	278504332
10515289	278852326
641409	279142815
12863767	279160458
8174797	279515417
11678418	279741653
9393481	280064069
5871901	280321966
11413355	280483193
5147717	280798336
7234256	280941482
12697319	281141902
2423070	281490484
8372066	281558835
3417890	281788690
7408540	281884355
6165506	282087764
16222479	282258854
8965979	282704211
10246811	282952168
3034410	283235286
10636584	283320423
866558	283614244
13523073	283638068
3288624	284011122
10168415	284103238
14163646	284382408
7609915	284773046
9622006	284983784
4707452	285249745
3305813	285379003
14137033	285471588
15282382	285859692
142109	286279240
8815099	286284983
13842247	286528796
4452149	286908815
10328615	287031066
16459214	287314632
13379248	287766485
14947957	288135591
6112716	288547761
2352416	288715596
10960574	288780209
4337269	289081121
16425326	289202021
10148140	289654742
3808286	289935151
1803487	290041533
6720826	290091075
2691072	290277404
5732595	290351320
14940190	290508718
6736403	290918872
14951792	291105628
15540484	291517903
8924788	291944542
3942493	292191372
7332046	292301436
613711	292502738
11541205	292519625
6006292	292838275
8163003	293003191
9058238	293229105
4060082	293479596
5714192	293591081
11262262	293747982
8048140	294057175
3556971	294279939
16660100	294379419
12626599	294838587
896490	295187029
2515090	295211672
10221379	295282550
16398657	295563169
16712557	296015162
4740183	296473973
8339372	296605933
10123936	296834892
4517651	297114636
16407031	297240485
7601551	297692702
5470595	297901403
9933019	298051612
15723630	298324314
14128219	298755972
2238610	299143838
5724447	299207128
11874043	299364309
16291462	299690295
12935211	300139341
4600296	300494461
11905166	300622578
14160729	300949418
4264841	301339979
9538449	301457092
4859473	301718965
9673554	301854201
10099786	302119784
5368643	302398870
9416615	302546279
1275041	302804806
11598392	302839844
6482189	303160062
15419961	303339839
2111598	303763167
2524717	303822971
12677626	303894115
8946082	304242158
2400578	304489569
15584118	304557304
2366020	304985133
922765	305051923
4896944	305079093
9628577	305215351
10154935	305481494
13501433	305762085
12619179	306134544
11063361	306482783
1452614	306788315
9037033	306830031
444882	307078135
4979844	307092180
1951361	307228914
5266760	307282516
14056104	307428931
11019967	307816615
576582	308120957
2984481	308138621
15544700	308220587
5218540	308647338
8016745	308790624
3211695	309012527
653361	309100730
15200030	309118702
13809470	309535989
1674442	309916904
12488029	309962904
2862113	310307545
10193720	310386151
10722212	310666014
3720592	310960381
14510880	311064348
7404114	311462721
10546875	311667803
11497514	311959153
11231731	312274807
13643931	312583160
15869068	312959532
11225913	313396986
12050535	313705185
6102530	314036015
6660467	314203577
1856025	314386448
7708604	314439238
14628610	314650879
40410	315052486
5005006	315055429
3525415	315194655
15407039	315291468
10682629	315714439
4344505	316007728
15037366	316128824
1192980	316541645
193089	316576235
2071414	316583371
13923194	316640270
14580208	317024307
3548854	317426376
6974389	317525632
13800699	317718919
2610886	318099589
2750821	318171293
14475283	318246840
15403176	318646032
9112761	319068898
14496000	319319088
14995976	319717055
15562321	320130541
12016344	320557775
7401935	320887667
6843073	321092686
3334992	321282368
15769484	321375751
7509830	321810468
14651426	322018455
11868811	322420685
16251842	322746531
2102214	323192686
10083832	323252231
7845456	323529070
3966323	323744470
5492005	323855185
11505429	324005982
7185291	324321853
4786859	324519130
10928494	324650572
4634928	324952401
16301870	325081470
11670340	325530803
11848408	325853002
15736809	326180080
3491053	326613901
12849250	326709769
13676013	327064329
16386935	327441576
3473329	327893247
6973969	327990424
14511382	328183704
15754374	328582091
9227441	329016395
12213246	329271527
372358	329608622
1066887	329618880
3677295	329650005
10696780	329752789
260989	330046463
14374763	330053662
16469337	330448297
5497257	330900430
1138773	331051367
6117450	331082667
11810485	331250635
6581660	331576677
200144	331759184
10239574	331764717
4103823	332047639
16133408	332162127
3831394	332606840
5701621	332713852
14098515	332872195
1706534	333259249
15862037	333307937
10524449	333745202
5896541	334035943
15090059	334197842
1223895	334613911
16256050	334649341
12295477	335097421
15033613	335434978
826155	335847701
5623203	335872218
1442501	336026613
3327278	336068049
16452312	336161222
3438699	336612886
2931664	336709118
9982882	336791427
6568628	337067300
7285437	337249450
2411590	337449478
4829653	337517514
6073787	337650125
9592517	337818688
5271422	338083844
861484	338230385
13199536	338254076
9487483	338616448
16241248	338878720
11226207	339324588
4757362	339632794
9122520	339765223
8668803	340015679
12668134	340255481
15656553	340603265
11482726	341034881
14575485	341350129
14089323	341752072
3213546	342140666
1102433	342228918
13165200	342261016
15107653	342624242
16198146	343040794
2137213	343485486
13664078	343545990
2406060	343922915
11091713	343990797
8751805	344295314
3928280	344535592
8772193	344643458
16620756	344884296
5543799	345340580
11506043	345494597
881167	345810482
3491054	345834712
13167797	345930580
686462	346293876
3595556	346314557
964254	346415094
5182277	346443398
5577055	346585697
15307429	346738832
15461540	347159066
14288945	347583528
3705716	347977610
6599714	348081171
10145681	348264175
11857315	348544514
7791109	348871837
15757550	349087545
10907413	349521933
6635795	349823188
4763033	350005387
14221155	350137970
9711955	350530183
3136217	350798622
15624650	350884746
875908	351315487
11910576	351339570
3510156	351666557
3498274	351762950
6400390	351859021
3456094	352034752
5129405	352131460
16049584	352274102
3561268	352716505
4919032	352816104
8328223	352951172
10791894	353179830
11402284	353477907
13931759	353790943
15697336	354175211
5647338	354606148
12543886	354763007
618638	355107382
15369981	355124402
7965526	355548150
1260840	355766847
16531774	355801500
11699986	356257147
10681974	356580158
14826545	356875218
2172000	357284056
148271	357343720
1982761	357349631
7158137	357405900
8416315	357602435
7321432	357835307
3366764	358036322
1528124	358128781
4305882	358170770
1897844	358289003
12168456	358342934
8966960	358677005
2843534	358924990
1348558	359003085
11930636	359041938
12618573	359371284
3138645	359719509
14477880	359805703
981985	360204965
13465819	360233752
15071144	360603432
3116782	361017177
3386797	361102769
2365101	361195774
11298740	361262536
11537242	361574529
6136156	361893074
10779468	362061553
9352382	362359294
12275123	362617856
13171735	362954853
9087444	363318261
14293302	363569550
11077468	363963751
16729030	364267876
16358258	364727135
10237772	365176216
2486338	365459089
9872013	365527377
10812454	365800205
11493285	366098849
11079563	366414384
10734795	366718565
5168030	367013275
13095618	367156974
5726229	367516490
7120588	367673720
852969	367871018
11515237	367894471
189681	368210608
10940008	368217646
2230723	368519790
1912987	368582863
4007248	368635415
11053164	368745458
2539343	369050710
8343601	369122253
10276104	369351331
7144092	369635254
12711381	369831404
3543303	370180371
6264267	370279480
10610035	370451473
12148817	370742760
15914294	371076292
6498624	371514985
14754818	371693418
16411893	372098490
7501988	372550840
8397365	372758610
14795756	372990964
9798074	373397149
10836494	373666148
8978123	373963658
6635234	374211944
11455627	374394122
2349026	374710420
8785798	374774935
6901494	375017950
9712707	375207436
6954452	375475896
9989802	375668637
5465807	375944699
50628	376094775
10607764	376097998
12693123	376389222
12500258	376737692
9267120	377082669
8154286	377337094
10136309	377562770
6461778	377842850
12178120	378022067
6714925	378356397
8495402	378542565
14001698	378775808
3885123	379160202
15717546	379266892
12252791	379698382
4138180	380036562
425509	380150196
12209210	380163716
10802723	380500706
9462582	380799084
13592552	381060677
13565036	381433836
3004901	381808038
5158943	381890557
14034506	382034011
16669585	382421107
3686299	382880534
95707	382983563
9489977	382986226
2564148	383248568
13787785	383318998
13447598	383699318
2259906	384068501
4819626	384132372
10699163	384264710
1839515	384558447
1364201	384610782
11661026	384650062
8198015	384970196
16601163	385195277
10084384	385651029
15063155	385927889
367960	386341417
14189140	386351556
13759521	386742894
211618	387120638
11870705	387126486
13621219	387452381
3661757	387826324
10906027	387926875
3033439	388228088
4448115	388313197
4901553	388435336
13105398	388571720
6588519	388931502
13220388	389114198
1648217	389477144
8926980	389522430
11787406	389769323
11968023	390092929
2592864	390423297
2716093	390494511
13052499	390569106
7999152	390927446
5333207	391148866
1414448	391295302
6690372	391334169
15755071	391519665
12302807	391953990
10034639	392291743
11428421	392567238
6191254	392882794
2619727	393054584
7335451	393126533
7566692	393327933
12649802	393535682
1041030	393882969
16442185	393911581
9942239	394364764
6537150	394637718
14101826	394817201
12553224	395204346
11960793	395548980
6174801	395879145
14149808	396050487
10499285	396438941
3921454	396728989
5981305	396836673
11956392	397000903
1564197	397330949
13330506	397373925
10681919	397739895
14083676	398034955
5760039	398423395
2460678	398581549
1175253	398649137
10290280	398681431
10845819	398963947
16461862	399261709
14921259	399713639
3485904	400123275
5694599	400219003
16263974	400377157
11115960	400825454
5245440	401130629
7315797	401276463
9735821	401477324
12763868	401746414
5345095	402098622
140919	402245387
256396	402251095
15994694	402258168
10540592	402699073
13340097	402990255
1953169	403356484
8795527	403410135
8295103	403653416
16758468	403882956
16325607	404343020
13864123	404791205
3189822	405171819
3049761	405261219
1520025	405346776
354017	405388541
644352	405398295
7431152	405416022
3624662	405620047
13001469	405719583
16053830	406078315
9128735	406520837
1659545	406771468
14664592	406817062
13914384	407219649
2810624	407603448
6535748	407682439
5120023	407861887
7185882	408004277
7933370	408201568
11007622	408419383
7598405	408721583
13347033	408930200
5947100	409296618
8974571	409461702
3187492	409709890
1577010	409799227
3828345	409844359
10922686	409951287
6509697	410252955
6654504	410431689
4687657	410614399
10891463	410743118
10340162	411043932
7789844	411327813
85038	411543486
11500161	411545862
12737890	411861586
13073596	412213087
11095037	412572001
7245085	412876602
10757617	413077323
2083863	413374462
6239766	413431704
597021	413603032
14967206	413619464
9715170	414032159
462306	414300682
16237016	414313411
10118398	414759160
8231335	415038750
7413557	415264741
4826385	415468290
8641923	415600817
2680111	415838078
16134173	415913485
11790740	416358219
13364078	416681916
14376598	417048803
11821657	417443487
12957588	417769837
11369682	418125566
16389697	418437706
7775266	418889454
2932103	419104728
